All,सभी
"Go to Advanced Reporting","उन्नत रिपोर्टिंग पर जाएं"
Analytics,विश्लेषिकी
API,"एपीआई (API)"
"BI Essentials","BI आवश्यकताएँ"
Industry,उद्योग
"In order to personalize your Advanced Reporting experience, please select your industry.","अपने उन्नत रिपोर्टिंग अनुभव को निजीकृत करने के लिए, कृपया अपना उद्योग चुनें।"
Done,पूर्ण
Status,स्थिति
Error,त्रुटि
"We can't process your order right now. Please try again later.","हम अभी आपके आदेश की प्रक्रिया नहीं कर सकते । कृपया बाद में पुन: प्रयास करें ।"
"This payment didn't work out because we can't find this order.","यह भुगतान बाहर काम नहीं किया क्योंकि हम इस आदेश नहीं मिल सकता है ।"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","कुछ गलत हुआ: भुगतान की गई राशि ऑर्डर राशि से मेल नहीं खाती । कृपया इसे सुधारें और पुन: प्रयास करें ।"
"Please Select","कृपया चुने"
"Card Verification Number","कार्ड सत्यापन संख्या"
"Place Order","स्थान क्रम"
Enabled,सक्षम
Title,शीर्षक
"Unable to place order. Please try again later.","ऑर्डर रखने में असमर्थ । कृपया बाद में पुन: प्रयास करें ।"
"Select all","सभी का चयन करें"
"Deselect all","सभी को विचयन करें"
Orders,ऑर्डर
Amounts,राशी
Customer,ग्राहक
Guest,अतिथि
Items,आइटम्स
Total,कुल
Average,औसत
"What is this?","यह क्या है?"
"My Account","मेरा खाता"
"Account Information","खाते की जानकारी"
"User Name","उपयोगकर्ता नाम"
"First Name","प्रथम नाम"
"Last Name","अंतिम नाम"
Email,ईमेल
"New Password","नया पासवर्ड"
"Password Confirmation","पासवर्ड पुष्टिकरण"
"Your Password","आपका पासवर्ड"
"Catalog Rewrites","कैटलॉग पुनर्लेखनों"
Refresh,रीफ्रेश
Clear,साफ़
Enable,सक्षम
Delete,हटाएँ
Save,सहेजें
"-- Please Select --","-- कृपया चुने --"
"Custom Design","कस्टम डिजाइन"
"Web Site",वेबसाइट
Name,नाम
Code,कोड
Disabled,अक्षम
"Sort Order","सॉर्ट क्रम"
"Web Site Information","वेब साइट जानकारी"
"Default Store","डिफ़ॉल्ट स्टोर"
Stores,स्टोर
"Create Website","वेबसाइट बनाएँ"
"Create Store","स्टोर बनाएँ"
Home,घर
"Are you sure you want to do this?","क्या आप निश्चयपूर्वक यह करना चाहते हैं?"
"Add New Image","नई छवि जोड़ें"
"Reset Filter","फ़िल्टर रीसेट करें"
Search,खोज
Any,"कोई भी"
"All Countries","सभी देश"
From,से
To,से
"Date selector","दिनांक चयनकर्ता"
"Select All","सभी का चयन करें"
"We couldn't find any records.","हमें कोई रिकॉर्ड नहीं मिला ।"
"Add New","नया जोड़ें"
Export,निर्यात
Submit,"जमा करें"
"You have logged out.","आपने लॉग ऑफ कर लिया।"
"We can't refresh lifetime statistics.","हम आजीवन सांख्यिकी को ताज़ा नहीं कर सकते."
"You saved the account.","आपने खाता सहेज लिया है।"
System,सिस्‍टम
"We can't create a backup right now. Please try again later.","हम अभी आपके आदेश की प्रक्रिया नहीं कर सकते । कृपया बाद में पुन: प्रयास करें ।"
"You deleted the store.","आपने स्टोर हटा दिया।"
"Store View","स्टोर दृश्य"
"You deleted the website.","आपने वेबसाइट को हटा दिया।"
"The website does not exist.","वेबसाइट मौजूद नहीं है।"
"The store does not exist","स्टोर मौजूद नहीं है"
"You saved the store.","आपने स्टोर को सहेजा ।"
"Last 24 Hours","पिछले 24 घंटे"
"Last 7 Days","आखिरी 7 दिन"
"Current Month","वर्तमान माह"
"Authentication storage is incorrect.","प्रमाणीकरण संग्रह गलत है ।"
Order,ऑर्डर
"Next steps","अगले चरण"
"previous page","पिछला पृष्ठ"
Username,"उपयोगकर्ता नाम"
"user name","उपयोगकर्ता नाम"
Password,पासवर्ड
password,पासवर्ड
"Account Setting","खाता सेटिंग"
"Customer View","ग्राहक दृश्य"
"Sign Out","साइन आउट"
"Go Today","आज पर जाएँ"
Previous,पिछला
Next,अगला
Time,समय
Hour,घंटा
Minute,मिनट
"Report an Issue","मामले की रिपोर्ट करें"
"Please confirm scope switching. All data that hasn't been saved will be lost.","कृपया क्षेत्र स्विचिंग की पुष्टि करें । सहेजे नहीं गए सभी डेटा खो जाएंगे ।"
Catalog,कैटलॉग
JavaScript/CSS,जावास्क्रिप्ट/CSS
"No records found.","कोई परिणाम नहीं मिला।"
Thumbnail,थंबनेल
"Additional Settings","अतिरिक्त सेटिंग"
selected,चयनित
"Previous page","पिछला पृष्ठ"
"Next page","अगला पृष्ठ"
"Unselect All","सभी का चयन रद्द करें"
Loading...,"लोड हो रहा है..."
Marketing,विपणन
Currency,चलन
Services,सेवाए
Advanced,उन्नत
"Custom Email 1","कस्टम ईमेल 1"
"Sender Email","भेजने वाले का ईमेल"
"Sender Name","भेजने वाले का नाम"
"Custom Email 2","कस्टम ईमेल 2"
"General Contact","सामान्य संपर्क"
"Sales Representative","बिक्री प्रतिनिधि"
"Customer Support","ग्राहक सहायता"
Developer,डेवलपर
Debug,डीबग
"Minify Html","Html को छोटा करें"
"Translate Inline","इनलाइन अनुवाद"
"Enabled for Storefront","स्टोरफ्रंट के लिए सक्षम"
"Enabled for Admin","व्यवस्थापक के लिए सक्षम"
"JavaScript Settings","जावास्क्रिप्ट सेटिंग्स"
"Merge JavaScript Files","जावास्क्रिप्ट फ़ाइलों को मर्ज करें"
"Minify JavaScript Files","जावास्क्रिप्ट फ़ाइलों को छोटा करें"
"CSS Settings","सीएसएस सेटिंग्स"
"Merge CSS Files","सीएसएस सेटिंग्स मर्ज करें"
"Minify CSS Files","सीएसएस फ़ाइलों को छोटा करें"
"Image Adapter","छवि अनुकूलक"
"Country Options","देश के विकल्प"
"Allow Countries","देशों की अनुमति दें"
"Default Country","डिफ़ॉल्ट देश"
Country,देश
"ZIP/Postal Code","ज़िप/पोस्ट कोड"
City,शहर
"Street Address","सड़क का पता"
Admin,व्यवस्थापक
Security,सुरक्षा
"Login is Case Sensitive","लॉगिन केस संवेदी है"
Web,वेब
"Base URLs","आधार URLs"
"Base URL","आधार URL"
"Base Link URL","आधार लिंक URL"
"Base URLs (Secure)","आधार URLs (सुरक्षित)"
"Secure Base URL","सुरक्षित आधार URL"
"We can't create the backup right now.","हम अभी बैकअप नहीं बना सकते ।"
"We can't delete one or more backups.","हम एक या अधिक बैकअप नहीं हटा सकते ।"
"Can't load snapshot archive","स्नैपशॉट संग्रह लोड नहीं कर सकता"
"We can't find the backup file.","हम बैकअप फ़ाइल नहीं ढूँढ सकता ।"
"We can't connect to the FTP right now.","हम अभी FTP से कनेक्ट नहीं कर सकता ।"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"No Default Content","कोई डिफ़ॉल्ट सामग्री नहीं"
"We can't initialize checkout.","हम चेकआउट प्रारंभ नहीं कर सकता ।"
"--Please Select--","--कृपया चुने--"
Select...,चयन...
Amount,राशि
"We can't initialize checkout review.","हम चेकआउट समीक्षा प्रारंभ नहीं कर सकता ।"
error,त्रुटि
exception,अपवाद
"* Required Fields","* आवश्यक फील्ड्स"
Company,कंपनी
Address,पता
State/Province,राज्य/प्रांत
"Zip/Postal Code","ज़िप/पोस्ट कोड"
"Use Vault","वॉल्ट का उपयोग करें"
"Paypal account","पेपैल खाता"
"Coinbase account","कॉइनबेस खाता"
"Europe bank account","यूरोप बैंक खाता"
"Credit card","क्रेडिट कार्ड"
"Apple pay card","एप्पल पे कार्ड"
"Android pay card","एंड्रायड पे कार्ड"
"Authorization expired","प्राधिकरण की समयसीमा समाप्त"
Authorizing,अधिकृत
Authorized,अधिकृत
"Gateway rejected","गेटवे अस्वीकृत"
Failed,"विफल रहा"
"Processor declined","प्रोसेसर अस्वीकृत"
"As Low as","के रूप में कम के रूप में"
"We can't add this item to your shopping cart right now.","हम इस आइटम को आपकी शॉपिंग कार्ट में नहीं जोड़ सकते ।"
Required,आवश्यक
"Regular Price","नियमित मूल्य"
"In stock","स्टॉक में"
"Out of stock","स्टॉक ख़त्म"
Always,हमेशा
"Reload captcha","कॅप्चा को पुनः लोड करें"
Font,फ़ॉन्ट
"Displaying Mode","प्रदर्शन प्रणाली"
Root,जड़
"Use Config Settings","कॉन्फ़िगरेशन सेटिंग्स का उपयोग करें"
"Use All Available Attributes","सभी उपलब्ध विशेषताओं का उपयोग करें"
Visibility,दृश्यता
Position,पद
"Add Subcategory","उपश्रेणी जोड़ें"
"Add Root Category","रूट श्रेणी जोड़ें"
Day,दिन
Month,महीना
Year,साल
[GLOBAL],[वैश्विक]
[WEBSITE],[वेबसाइट]
"[STORE VIEW]","[स्टोर दृश्य]"
"WYSIWYG Editor","WYSIWYG संपादक"
"Add Product","उत्पाद जोड़ें"
label,लेबल
"Product Attributes","उत्पाद विशेषताएं"
"Add New Attribute","नई विशेषता जोड़ें"
"Save Attribute","सेव सेव"
"Save in New Attribute Set","नई विशेषता सेट में सहेजें"
"Enter Name for New Attribute Set","नए गुण सेट के लिए नाम दर्ज करें"
"Delete Attribute","विशेषता हटाएँ"
"Edit Product Attribute ""%1""","उत्पाद गुण संपादित करें ""%1"""
"New Product Attribute","नई उत्पाद विशेषता"
"Advanced Attribute Properties","उन्नत गुण गुण"
"Attribute Code","विशेषता कोड"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","यह आंतरिक रूप से उपयोग किया जाता है। सुनिश्चित करें कि आप रिक्त स्थान या %1 से अधिक प्रतीकों का उपयोग नहीं करते हैं।"
"Default Value","डिफ़ॉल्ट मान"
"Unique Value","अनोखा मूल्य"
"Unique Value (not shared with other products)","अद्वितीय मान (अन्य उत्पादों के साथ साझा नहीं)"
"Not shared with other products.","अन्य उत्पादों के साथ साझा नहीं किया गया।"
"Input Validation for Store Owner","स्टोर मालिक के लिए इनपुट सत्यापन"
"Add to Column Options","कॉलम विकल्प में जोड़ें"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","उत्पाद ग्रिड में कॉलम विकल्पों की सूची में इस विशेषता को जोड़ने के लिए ""हां"" चुनें।"
"Use in Filter Options","फ़िल्टर विकल्पों में उपयोग करें"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","उत्पाद ग्रिड में फ़िल्टर विकल्पों की सूची में इस विशेषता को जोड़ने के लिए ""हां"" चुनें।"
Website,वेबसाइट
Global,वैश्विक
Scope,क्षेत्र
"Declare attribute value saving scope.","डिक्लेयर एट्रीब्यूट वैल्यू सेविंग स्कोप।"
"Storefront Properties","स्टोरफ्रंट गुण"
"Use in Search","खोज में उपयोग करें"
"Visible in Advanced Search","उन्नत खोज में दिखाई देता है"
"Comparable on Storefront","स्टोरफ्रंट पर तुलनीय"
"Use for Promo Rule Conditions","प्रोमो नियम शर्तों के लिए उपयोग करें"
"Allow HTML Tags on Storefront","दृश्यपटल पर HTML टैग्स की अनुमति"
"Visible on Catalog Pages on Storefront","स्टोरफ्रंट पर कैटलॉग पेज पर दिखाई देता है"
"Used in Product Listing","उत्पाद सूचीकरण में प्रयुक्त"
"Depends on design theme.","डिजाइन विषय पर निर्भर करता है।"
"Used for Sorting in Product Listing","उत्पाद सूचीकरण में छंटाई के लिए उपयोग किया जाता है"
"Media Image","मीडिया इमेज"
Gallery,गेलरी
"System Properties","प्रणाली के गुण"
"Data Type for Saving in Database","डेटाबेस में बचत के लिए डेटा प्रकार"
Text,टेक्स्ट
Varchar,varchar
Static,स्थिर
Datetime,"दिनांक समय"
Decimal,दशमलव
Integer,पूर्णांक
"Globally Editable","वैश्विक रूप से संपादन योग्य"
"Attribute Information","जानकारी दें"
Properties,गुण
"Manage Labels","लेबल प्रबंधित करें"
Visible,दर्शनीय
Searchable,"खोज सकने"
Comparable,तुलनीय
"Delete Selected Group","चयनित समूह हटाएं"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","आप इस विशेषता सेट में सभी उत्पादों को हटाने वाले हैं। क्या वाकई आपकी उसे करने की इच्छा है?"
"New Set Name","नया सेट नाम"
"Edit Attribute Set '%1'","विशेषता सेट संपादित करें '%1'"
Empty,खाली
"Add Attribute","विशेषता जोड़ें"
"Add New Group","नया समूह जोड़ें"
"Add Group","समूह जोड़ें"
"Edit Attribute Set Name","गुण सेट नाम संपादित करें"
"For internal use","आंतरिक उपयोग के लिए"
"Based On","पर आधारित"
"Add New Attribute Set","नया विशेषता सेट जोड़ें"
"Add Attribute Set","विशेषता सेट जोड़ें"
"Attribute Sets","गुण समूह"
"Close Window","विंडो बंद करें"
"New Product","नया उत्पाद"
"Save & Edit","सहेजें और संपादित करें"
"Save & New","सहेजें और नया"
"Save & Duplicate","सहेजें और डुप्लिकेट करें"
"Save & Close","सहेजे बंद करें"
Attributes,गुण
Change,परिवर्तन
"Advanced Inventory","उन्नत इन्वेंटरी"
Websites,वेबसाइटों
"Products Information","उत्पाद जानकारी"
"Create Category","श्रेणी बनाएँ"
"Category Name","श्रेणी नाम"
"Parent Category","अभिभावक श्रेणी"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","यदि कोई कस्टम पैरेंट श्रेणियां नहीं हैं, तो कृपया डिफ़ॉल्ट पैरेंट श्रेणी का उपयोग करें। आप <a href=""%1"" target=""_blank""> उत्पाद> श्रेणियां </a> में किसी भी समय श्रेणी को पुन: असाइन कर सकते हैं।"
"Price Alert Subscriptions","मूल्य अलर्ट सदस्यताएँ"
"Stock Alert Subscriptions","स्टॉक अलर्ट सब्सक्रिप्शन"
"There are no customers for this alert.","इस अलर्ट के लिए कोई ग्राहक नहीं हैं।"
"Subscribe Date","सदस्यता लें तिथि"
"Last Notified","अंतिम अधिसूचित"
"Send Count","गणना भेजें"
"New Attribute","नई विशेषता"
Type,प्रकार
"Attribute Set","विशेषता सेट करें"
"Add New Option","नया विकल्प जोड़ें"
"Import Options","आयात विकल्प"
"Use Default","पूर्व निर्धारित उपयोग करें"
Import,आयात
"Add New Row","नई पंक्ति जोड़ें"
"Delete Row","पंक्ति को हटाएं"
"Tier Pricing","टियर प्राइसिंग"
"Default Price","डिफ़ॉल्ट मूल्य"
"All Websites","सभी वेबसाइट"
"ALL GROUPS","सभी सकल"
"Add Price","मूल्य जोड़ें"
"Default Values","डिफ़ॉल्ट मान"
"Related Products","संबंधित उत्पाद"
Up-sells,"ऊपर बेचता है"
Cross-sells,"क्रॉस-बेचता है"
"Size for %1","%1 के लिए आकार"
"Watermark File for %1","%1 के लिए वॉटरमार्क फ़ाइल"
"Position of Watermark for %1","%1 के लिए वॉटरमार्क की स्थिति"
"Name in %1","%1 में नाम"
"Change Status","अवस्था बदलो"
"Update Attributes","अद्यतन विशेषताएँ"
"start typing to search category","खोज श्रेणी में लिखना प्रारंभ करें"
"New Category","नई श्रेणी"
"Images (.gif, .jpg, .png)","छवियाँ (.gif, .jpg, .png)"
"Add New Images","नई छवियाँ जोड़ें"
"Inc. Tax","इंक टैक्स"
"Does this have a weight?","क्या इससे वजन होता है?"
"Notify Low Stock RSS","कम स्टॉक आरएसएस को सूचित करें"
"Low Stock Products","कम स्टॉक उत्पाद"
"%1 has reached a quantity of %2.","%1 %2 की मात्रा तक पहुँच गया है।"
Home,होम
"Go to Home Page","मुखपृष्ठ प्र जाएं"
"Subscribe to RSS Feed","आरएसएस फ़ीड की सदस्यता लें"
"Products Comparison List","उत्पाद तुलना सूची"
N/A,"एन / ए"
"New Products from %1","%1 से नए उत्पाद"
"New Products","नये उत्पाद"
"%1 - Special Products","%1 - विशेष उत्पाद"
"Click for price","कीमत के लिए क्लिक करें"
"Special Expires On: %1","विशेष समय सीमा समाप्त:%1"
"Price: %1",मूल्य:%1
"Special Price: %1","विशेष मूल्य: %1"
"Special Products","विशेष उत्पाद"
"Manage Catalog Categories","कैटलॉग श्रेणियाँ प्रबंधित करें"
"Manage Categories","श्रेणी व्यवस्थित करें"
"You deleted the category.","आपने श्रेणी हटा दी।"
"Something went wrong while trying to delete the category.","श्रेणी को हटाने का प्रयास करते समय कुछ गलत हो गया।"
Categories,श्रेणियाँ
"Category is not available for requested store.","अनुरोधित स्टोर के लिए श्रेणी उपलब्ध नहीं है।"
"There was a category move error.","एक श्रेणी चाल त्रुटि थी।"
"You moved the category.","आपने श्रेणी को स्थानांतरित कर दिया।"
"You saved the category.","आपने श्रेणी बचाई।"
"Something went wrong while saving the category.","श्रेणी को बचाने के दौरान कुछ गलत हो गया।"
"Please select products for attributes update.","कृपया उत्पाद अपडेट के लिए उत्पादों का चयन करें।"
"Please make sure to define SKU values for all processed products.","कृपया सभी संसाधित उत्पादों के लिए SKU मानों को परिभाषित करना सुनिश्चित करें।"
"Something went wrong while updating the product(s) attributes.","उत्पाद को अपडेट करते समय कुछ गलत हो गया।"
"Unable to add attribute","विशेषता जोड़ने में असमर्थ"
Catalog,सूची
"Manage Product Attributes","उत्पाद विशेषताएँ प्रबंधित करें"
"We can't delete the attribute.","हम विशेषता को हटा नहीं सकते।"
"You deleted the product attribute.","आपने उत्पाद विशेषता को हटा दिया।"
"We can't find an attribute to delete.","हम हटाने के लिए एक विशेषता नहीं ढूँढ सकते।"
"This attribute no longer exists.","यह विशेषता अब मौजूद नहीं है।"
"This attribute cannot be edited.","इस विशेषता को संपादित नहीं किया जा सकता है।"
"Edit Product Attribute","उत्पाद गुण संपादित करें"
"An attribute set named '%1' already exists.","'%1' नामक विशेषता सेट पहले से मौजूद है ।"
"Something went wrong while saving the attribute.","विशेषता को सहेजते समय कुछ गलत हो गया।"
"We can't update the attribute.","हम विशेषता अद्यतन नहीं कर सकता ।"
"You saved the product attribute.","आपने उत्पाद विशेषता को सहेजा है।"
"An attribute with this code already exists.","इस कोड के साथ एक विशेषता पहले से मौजूद है।"
"An attribute with the same code (%1) already exists.","समान कोड (%1) के साथ एक विशेषता पहले से मौजूद है।"
"The value of Admin must be unique.","व्यवस्थापक का मान अद्वितीय होना चाहिए।"
"The value of Admin scope can't be empty.","व्यवस्थापक स्कोप का मान रिक्त नहीं हो सकता।"
"You duplicated the product.","आपने उत्पाद को डुप्लिकेट किया।"
"This product doesn't exist.","यह उत्पाद मौजूद नहीं है।"
"Invalid product id. Should be numeric value greater than 0","अमान्य उत्पाद आईडी। संख्यात्मक मान 0 से अधिक होना चाहिए"
"A group with the same name already exists.","समान नाम वाला एक समूह पहले से मौजूद है।"
"Something went wrong while saving this group.","इस समूह को सहेजते समय कुछ गलत हुआ।"
"A total of %1 record(s) have been deleted.","कुल %1 रिकॉर्ड हटा दिया गया है।"
"A total of %1 record(s) have been updated.","कुल %1 रिकॉर्ड अपडेट किया गया है।"
"Something went wrong while updating the product(s) status.","उत्पाद को अपडेट करते समय कुछ गड़बड़ हो गई।"
"You saved the product.","आपने उत्पाद बचा लिया।"
"SKU for product %1 has been changed to %2.","उत्पाद %1 के लिए SKU को %2 में बदल दिया गया है।"
"The image cannot be removed as it has been assigned to the other image role","छवि को हटाया नहीं जा सकता क्योंकि इसे अन्य छवि भूमिका को सौंपा गया है"
"New Attribute Set","नई विशेषता सेट"
"The attribute set has been removed.","विशेषता सेट हटा दिया गया है।"
"We can't delete this set right now.","हम अभी इस सेट को हटा नहीं सकते ।"
"New Set","नया सेट"
"Manage Product Sets","उत्पाद सेट प्रबंधित करें"
"Manage Attribute Sets","विशेषता सेट प्रबंधित करें"
"This attribute set no longer exists.","यह विशेषता सेट मौजूद नहीं है।"
"You saved the attribute set.","आपने विशेषता सेट सहेजा है।"
"Something went wrong while saving the attribute set.","विशेषता सेट को सहेजते समय कुछ गलत हो गया।"
"You cleared the comparison list.","आपने तुलना सूची साफ़ कर दी।"
"Something went wrong  clearing the comparison list.","तुलना सूची को साफ करने में कुछ गलत हुआ।"
"You removed product %1 from the comparison list.","आपने उत्पाद सूची %1 को तुलना सूची से हटा दिया।"
"1 item","1 समान"
"%1 items","%1 आइटम"
"Are you sure you want to remove this item from your Compare Products list?","क्या आप वाकई अपनी तुलना उत्पाद सूची से इस आइटम को निकालना चाहते हैं?"
"Are you sure you want to remove all items from your Compare Products list?","क्या आप वाकई अपनी तुलना उत्पाद सूची से सभी आइटम निकालना चाहते हैं?"
"Invalid attribute %1","अमान्य विशेषता %1"
Grid,ग्रिड
List,सूची
"Bad controller interface for showing product","उत्पाद दिखाने के लिए खराब नियंत्रक इंटरफ़ेस"
"Product is not loaded","उत्पाद लोड नहीं है"
"Make sure the To Date is later than or the same as the From Date.","सुनिश्चित करें कि दिनांक से बाद की तिथि के समान या समान है।"
"Sorry, but we can't find the new parent category you selected.","क्षमा करें, लेकिन हम आपके द्वारा चयनित नई मूल श्रेणी नहीं पा सकते हैं।"
"Sorry, but we can't find the new category you selected.","क्षमा करें, लेकिन हम आपके द्वारा चयनित नई श्रेणी नहीं खोज सकते।"
"We can't move the category because the parent category name matches the child category name.","हम श्रेणी को नहीं ले जा सकते क्योंकि पैरेंट श्रेणी नाम चाइल्ड श्रेणी नाम से मेल खाता है ।"
"Something went wrong while getting the image url.","छवि url प्राप्त करते समय कुछ गलत हो गया।"
"Can't delete root category.","रूट श्रेणी नहीं हटा सकते।"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","डिफ़ॉल्ट उत्पाद सूची क्रमबद्ध करके उपलब्ध उत्पाद सूची क्रमबद्ध करके मौजूद नहीं है।"
"No layout updates","कोई लेआउट अपडेट नहीं"
"Products only","उत्पाद केवल"
"Static block only","केवल स्टेटिक ब्लॉक"
"Static block and products","स्थैतिक ब्लॉक और उत्पादों"
"Please select a static block.","कृपया एक स्थिर ब्लॉक चुनें।"
"Could not save product ""%1"" with position %2 to category %3","उत्पाद ""%1"" को स्थिति%2 से श्रेणी%3 में सहेजा नहीं जा सका"
"Could not save product ""%product"" with position %position to category %category","उत्पाद ""%product"" को %category श्रेणी की स्थिति %position से नहीं बचा सका"
"Operation do not allow to move a parent category to any of children category","ऑपरेशन किसी भी माता-पिता की श्रेणी को बच्चों की श्रेणी में जाने की अनुमति नहीं देता है"
"Could not move category","श्रेणी नहीं ले सका"
"Could not save category: %1","श्रेणी नहीं बचा सका:%1"
"Cannot delete category with id %1","आईडी 1 के साथ श्रेणी नहीं हटा सकते"
"-- Please Select a Category --","-- कृपया एक कैटेगरी चयनित करें --"
"Grid Only","केवल ग्रिड"
"List Only","केवल सूची"
"Grid (default) / List","ग्रिड (डिफ़ॉल्ट) / सूची"
"List (default) / Grid","सूची (डिफ़ॉल्ट) / ग्रिड"
"Automatic (equalize price ranges)","स्वचालित (मूल्य सीमा बराबर करें)"
"Automatic (equalize product counts)","स्वचालित (उत्पाद की संख्या बराबर करें)"
Manual,गाइड
Fixed,स्थिर
Percent,प्रतिशत
"-- Please select --","-- कृपया चुने --"
"Product Thumbnail Itself","उत्पाद थंबनेल खुद को"
"Parent Product Thumbnail","मूल उत्पाद थंबनेल"
Stretch,खिंचाव
Tile,टाइल
Top/Left,"बाएं से बाएं"
Top/Right,"ठीक तरह से ऊपर"
Bottom/Left,"नीचे बाएँ"
Bottom/Right,"नीचे दाएं"
Center,केंद्र
